São Paulo,São Paulo,12 396 372
Rio de Janeiro,Rio de Janeiro,6 775 561
Brasília,Distrito Federal,3 094 325
Salvador,Bahia,2 900 319
Fortaleza,Ceará,2 703 391
Belo Horizonte,Minas Gerais,2 530 701
Manaus,Amazonas,2 255 903
Curitiba,Paraná,1 963 726
Recife,Pernambuco,1 661 017
Goiânia,Goiás,1 555 626
Belém,Pará,1 506 420
Porto Alegre,Rio Grande do Sul,1 492 530
Guarulhos,São Paulo,1 404 694
Campinas,São Paulo,1 223 237
São Luís,Maranhão,1 115 932
São Gonçalo,Rio de Janeiro,1 098 357
Maceió,Alagoas,1 031 597
Duque de Caxias,Rio de Janeiro,929 449
Campo Grande,Mato Grosso do Sul,916 001
Natal,Rio Grande do Norte,896 708
Teresina,Piauí,871 126
São Bernardo do Campo,São Paulo,849 874
João Pessoa,Paraíba,825 796
Nova Iguaçu,Rio de Janeiro,825 388
São José dos Campos,São Paulo,737 310
Santo André,São Paulo,723 889
Ribeirão Preto,São Paulo,720 116
Jaboatão dos Guararapes,Pernambuco,711 330
Uberlândia,Minas Gerais,706 597
Osasco,São Paulo,701 428
Sorocaba,São Paulo,695 328
Contagem,Minas Gerais,673 849
Aracaju,Sergipe,672 614
Feira de Santana,Bahia,624 107
Cuiabá,Mato Grosso,623 614
Joinville,Santa Catarina,604 708
Aparecida de Goiânia,Goiás,601 844
Londrina,Paraná,580 870
Juiz de Fora,Minas Gerais,577 532
Porto Velho,Rondônia,548 952
Ananindeua,Pará,540 410
Serra,Espírito Santo,536 765
Caxias do Sul,Rio Grande do Sul,523 716
Macapá,Amapá,522 357
Niterói,Rio de Janeiro,516 981
Florianópolis,Santa Catarina,516 524
Belford Roxo,Rio de Janeiro,515 239
Campos dos Goytacazes,Rio de Janeiro,514 643
Vila Velha,Espírito Santo,508 655
Mauá,São Paulo,481 725
São João de Meriti,Rio de Janeiro,473 385
São José do Rio Preto,São Paulo,469 173
Mogi das Cruzes,São Paulo,455 587
Betim,Minas Gerais,450 024
Boa Vista,Roraima,436 591
Maringá,Paraná,436 472
Santos,São Paulo,433 991
Diadema,São Paulo,429 550
Jundiaí,São Paulo,426 935
Rio Branco,Acre,419 452
Montes Claros,Minas Gerais,417 478
Campina Grande,Paraíba,413 830
Piracicaba,São Paulo,410 275
Carapicuíba,São Paulo,405 375
Anápolis,Goiás,396 526
Olinda,Pernambuco,393 734
Cariacica,Espírito Santo,386 495
Bauru,São Paulo,381 706
Itaquaquecetuba,São Paulo,379 082
São Vicente,São Paulo,370 839
Vitória,Espírito Santo,369 534
Caruaru,Pernambuco,369 343
Caucaia,Ceará,368 918
Blumenau,Santa Catarina,366 418
Petrolina,Pernambuco,359 372
Ponta Grossa,Paraná,358 838
Franca,São Paulo,358 539
Canoas,Rio Grande do Sul,349 728
Pelotas,Rio Grande do Sul,343 826
Vitória da Conquista,Bahia,343 643
Ribeirão das Neves,Minas Gerais,341 415
Uberaba,Minas Gerais,340 277
Paulista,Pernambuco,336 919
Praia Grande,São Paulo,336 454
Cascavel,Paraná,336 073
São José dos Pinhais,Paraná,334 620
Guarujá,São Paulo,324 977
Taubaté,São Paulo,320 820
Palmas,Tocantins,313 349
Limeira,São Paulo,310 783
Camaçari,Bahia,309 208
Santarém,Pará,308 339
Petrópolis,Rio de Janeiro,307 144
Mossoró,Rio Grande do Norte,303 792
Suzano,São Paulo,303 397
Taboão da Serra,São Paulo,297 528
Várzea Grande,Mato Grosso,290 383
Sumaré,São Paulo,289 875
Marabá,Pará,287 664
Gravataí,Rio Grande do Sul,285 564
Santa Maria,Rio Grande do Sul,285 159
Governador Valadares,Minas Gerais,282 164
Barueri,São Paulo,279 704
Embu das Artes,São Paulo,279 264
Juazeiro do Norte,Ceará,278 264
Volta Redonda,Rio de Janeiro,274 925
Parnamirim,Rio Grande do Norte,272 490
Ipatinga,Minas Gerais,267 333
Macaé,Rio de Janeiro,266 136
Indaiatuba,São Paulo,260 690
Imperatriz,Maranhão,259 980
Foz do Iguaçu,Paraná,257 971
Cotia,São Paulo,257 882
Viamão,Rio Grande do Sul,257 330
São Carlos,São Paulo,256 915
São José,Santa Catarina,253 705
Colombo,Paraná,249 277
Magé,Rio de Janeiro,247 741
Novo Hamburgo,Rio Grande do Sul,247 303
Rio Verde,Goiás,247 259
Itaboraí,Rio de Janeiro,244 416
Americana,São Paulo,244 370
Itapevi,São Paulo,244 131
Sete Lagoas,Minas Gerais,243 950
Divinópolis,Minas Gerais,242 505
Marília,São Paulo,242 249
Araraquara,São Paulo,240 542
São Leopoldo,Rio Grande do Sul,240 378
Rondonópolis,Mato Grosso,239 613
Hortolândia,São Paulo,237 570
Jacareí,São Paulo,237 119
Arapiraca,Alagoas,234 309
Cabo Frio,Rio de Janeiro,234 077
Presidente Prudente,São Paulo,231 953
Maracanaú,Ceará,230 986
Dourados,Mato Grosso do Sul,227 990
Chapecó,Santa Catarina,227 587
Itajaí,Santa Catarina,226 617
Águas Lindas de Goiás,Goiás,222 850
Santa Luzia,Minas Gerais,221 705
Juazeiro,Bahia,219 544
Criciúma,Santa Catarina,219 393
Parauapebas,Pará,218 787
Luziânia,Goiás,214 645
Itabuna,Bahia,214 123
Rio Grande,Rio Grande do Sul,212 881
Sobral,Ceará,212 437
Alvorada,Rio Grande do Sul,212 352
Cachoeiro de Itapemirim,Espírito Santo,212 172
Cabo de Santo Agostinho,Pernambuco,210 796
Angra dos Reis,Rio de Janeiro,210 171
Rio Claro,São Paulo,209 548
Passo Fundo,Rio Grande do Sul,206 103
Castanhal,Pará,205 667
Lauro de Freitas,Bahia,204 669
Araçatuba,São Paulo,199 210
Ferraz de Vasconcelos,São Paulo,198 661
Santa Bárbara d'Oeste,São Paulo,195 278
Nova Friburgo,Rio de Janeiro,191 664
Nossa Senhora do Socorro,Sergipe,187 733
Araguaína,Tocantins,186 245
Teresópolis,Rio de Janeiro,185 820
Barra Mansa,Rio de Janeiro,185 237
Jaraguá do Sul,Santa Catarina,184 579
Ibirité,Minas Gerais,184 030
Guarapuava,Paraná,183 755
São José de Ribamar,Maranhão,180 345
Linhares,Espírito Santo,179 755
Itapecerica da Serra,São Paulo,179 574
Francisco Morato,São Paulo,179 372
Palhoça,Santa Catarina,178 679
Itu,São Paulo,177 150
Mesquita,Rio de Janeiro,177 016
Valparaíso de Goiás,Goiás,175 720
Bragança Paulista,São Paulo,172 346
Pindamonhangaba,São Paulo,171 885
Timon,Maranhão,171 317
Poços de Caldas,Minas Gerais,169 838
Maricá,Rio de Janeiro,167 668
Itapetininga,São Paulo,167 106
Caxias,Maranhão,166 159
Teixeira de Freitas,Bahia,164 290
Nilópolis,Rio de Janeiro,162 893
São Caetano do Sul,São Paulo,162 763
Abaetetuba,Pará,160 439
Camaragibe,Pernambuco,159 945
Rio das Ostras,Rio de Janeiro,159 529
Franco da Rocha,São Paulo,158 438
Barreiras,Bahia,158 432
Ilhéus,Bahia,157 639
Paranaguá,Paraná,157 378
Lages,Santa Catarina,157 158
Jequié,Bahia,156 277
Patos de Minas,Minas Gerais,154 641
Pouso Alegre,Minas Gerais,154 293
Mogi Guaçu,São Paulo,154 146
Parnaíba,Piauí,153 863
Jaú,São Paulo,153 463
Alagoinhas,Bahia,153 023
Porto Seguro,Bahia,152 529
Queimados,Rio de Janeiro,152 311
Botucatu,São Paulo,149 718
Balneário Camboriú,Santa Catarina,149 227
Sinop,Mato Grosso,148 960
Araucária,Paraná,148 522
Atibaia,São Paulo,145 378
Santana de Parnaíba,São Paulo,145 073
Toledo,Paraná,144 601
Sapucaia do Sul,Rio Grande do Sul,142 508
Garanhuns,Pernambuco,141 347
Teófilo Otoni,Minas Gerais,141 269
Cametá,Pará,140 814
Brusque,Santa Catarina,140 597
Vitória de Santo Antão,Pernambuco,140 389
Barbacena,Minas Gerais,139 061
Santa Rita,Paraíba,138 093
Sabará,Minas Gerais,137 877
Varginha,Minas Gerais,137 608
Apucarana,Paraná,137 438
Simões Filho,Bahia,137 117
Araras,São Paulo,136 739
Itaguaí,Rio de Janeiro,136 547
Araruama,Rio de Janeiro,136 109
Marituba,Pará,135 812
São Félix do Xingu,Pará,135 732
Campo Largo,Paraná,135 678
Pinhais,Paraná,134 788
São Mateus,Espírito Santo,134 629
Crato,Ceará,133 913
Resende,Rio de Janeiro,133 244
Valinhos,São Paulo,133 169
Cubatão,São Paulo,132 521
Santa Cruz do Sul,Rio Grande do Sul,132 271
Cachoeirinha,Rio Grande do Sul,132 144
Trindade,Goiás,132 006
Vespasiano,Minas Gerais,131 849
Itapipoca,Ceará,131 687
Maranguape,Ceará,131 677
Ji-Paraná,Rondônia,131 026
Conselheiro Lafaiete,Minas Gerais,130 584
Bragança,Pará,130 122
Barcarena,Pará,129 333
Guarapari,Espírito Santo,128 504
Sertãozinho,São Paulo,128 432
Jandira,São Paulo,127 734
Uruguaiana,Rio Grande do Sul,126 766
Arapongas,Paraná,126 545
Birigui,São Paulo,126 094
Formosa,Goiás,125 705
Paço do Lumiar,Maranhão,125 265
Ribeirão Pires,São Paulo,125 238
Caraguatatuba,São Paulo,125 194
Três Lagoas,Mato Grosso do Sul,125 137
Santana,Amapá,124 808
Votorantim,São Paulo,124 468
Colatina,Espírito Santo,124 283
Várzea Paulista,São Paulo,124 269
Itatiba,São Paulo,124 254
Tatuí,São Paulo,124 134
Barretos,São Paulo,123 546
Codó,Maranhão,123 368
Guaratinguetá,São Paulo,123 192
Catanduva,São Paulo,123 114
Bento Gonçalves,Rio Grande do Sul,123 090
Itabira,Minas Gerais,121 717
Bagé,Rio Grande do Sul,121 518
Senador Canedo,Goiás,121 447
Almirante Tamandaré,Paraná,121 420
Salto,São Paulo,120 779
Igarassu,Pernambuco,119 690
Novo Gama,Goiás,119 649
Poá,São Paulo,119 221
Paulo Afonso,Bahia,119 213
Araguari,Minas Gerais,118 361
Ubá,Minas Gerais,117 995
Altamira,Pará,117 320
Piraquara,Paraná,116 852
Tucuruí,Pará,116 605
Parintins,Amazonas,116 439
Passos,Minas Gerais,115 970
Paragominas,Pará,115 838
Eunápolis,Bahia,115 360
Ourinhos,São Paulo,115 139
São Lourenço da Mata,Pernambuco,114 910
Paulínia,São Paulo,114 508
Açailândia,Maranhão,113 783
Umuarama,Paraná,113 416
Catalão,Goiás,113 091
Corumbá,Mato Grosso do Sul,112 669
Santa Cruz do Capibaribe,Pernambuco,111 812
Tailândia,Pará,111 554
Ariquemes,Rondônia,111 148
Coronel Fabriciano,Minas Gerais,110 709
Muriaé,Minas Gerais,109 997
Patos,Paraíba,108 766
Araxá,Minas Gerais,108 403
Nova Serrana,Minas Gerais,108 241
Cambé,Paraná,108 126
Tangará da Serra,Mato Grosso,107 631
São Pedro da Aldeia,Rio de Janeiro,107 556
Erechim,Rio Grande do Sul,107 368
Tubarão,Santa Catarina,107 143
Itumbiara,Goiás,106 845
Japeri,Rio de Janeiro,106 296
Lagarto,Sergipe,106 015
Ituiutaba,Minas Gerais,105 818
Assis,São Paulo,105 768
Lavras,Minas Gerais,105 756
Leme,São Paulo,105 273
Bacabal,Maranhão,105 094
Aracruz,Espírito Santo,104 942
São Gonçalo do Amarante,Rio Grande do Norte,104 919
Vilhena,Rondônia,104 517
Itaperuna,Rio de Janeiro,104 354
Itanhaém,São Paulo,104 351
Breves,Pará,104 280
Itacoatiara,Amazonas,104 046
Caieiras,São Paulo,104 044
Fazenda Rio Grande,Paraná,103 750
Mairiporã,São Paulo,103 645
Iguatu,Ceará,103 633
Jataí,Goiás,103 221
Santo Antônio de Jesus,Bahia,103 204
Itaituba,Pará,101 541
Barra do Piraí,Rio de Janeiro,101 139
Abreu e Lima,Pernambuco,100 698
Manacapuru,Amazonas,99 613
Ipojuca,Pernambuco,99 101
Sarandi,Paraná,98 888
Guaíba,Rio Grande do Sul,98 331
Valença,Bahia,97 873
Itajubá,Minas Gerais,97 782
Bayeux,Paraíba,97 519
Nova Lima,Minas Gerais,97 378
Balsas,Maranhão,96 951
Itabaiana,Sergipe,96 839
Votuporanga,São Paulo,96 106
Campo Mourão,Paraná,96 102
Caçapava,São Paulo,95 752
Pará de Minas,Minas Gerais,95 616
Cáceres,Mato Grosso,95 339
Ponta Porã,Mato Grosso do Sul,95 320
Itapeva,São Paulo,95 241
Caldas Novas,Goiás,95 183
Sorriso,Mato Grosso,94 941
Paracatu,Minas Gerais,94 539
Itaúna,Minas Gerais,94 455
Mogi Mirim,São Paulo,94 098
Francisco Beltrão,Paraná,93 308
Caratinga,Minas Gerais,93 124
São Roque,São Paulo,93 076
Ubatuba,São Paulo,92 819
Luís Eduardo Magalhães,Bahia,92 671
Arujá,São Paulo,92 453
São João da Boa Vista,São Paulo,92 315
Patrocínio,Minas Gerais,92 116
São Cristóvão,Sergipe,92 090
Manhuaçu,Minas Gerais,92 074
Saquarema,Rio de Janeiro,91 938
Avaré,São Paulo,91 792
São Sebastião,São Paulo,91 637
Planaltina,Goiás,91 345
Timóteo,Minas Gerais,91 268
São João del-Rei,Minas Gerais,90 897
Santa Inês,Maranhão,89 927
Cruzeiro do Sul,Acre,89 760
Lorena,São Paulo,89 532
Paranavaí,Paraná,89 454
Quixadá,Ceará,88 899
Barra do Corda,Maranhão,88 895
Gurupi,Tocantins,88 428
Candeias,Bahia,87 820
Serra Talhada,Pernambuco,87 467
Camboriú,Santa Catarina,87 179
Coari,Amazonas,86 713
Cacoal,Rondônia,86 416
Campo Limpo Paulista,São Paulo,86 407
Redenção,Pará,86 326
São Bento do Sul,Santa Catarina,86 317
Lajeado,Rio Grande do Sul,86 005
Navegantes,Santa Catarina,85 734
Pacatuba,Ceará,85 647
Unaí,Minas Gerais,85 461
Guanambi,Bahia,85 353
Gravatá,Pernambuco,85 309
Araripina,Pernambuco,85 301
Carpina,Pernambuco,85 131
Cianorte,Paraná,84 980
Pato Branco,Paraná,84 779
Moju,Pará,84 251
Pinheiro,Maranhão,84 160
Matão,São Paulo,84 069
Ijuí,Rio Grande do Sul,84 041
Seropédica,Rio de Janeiro,83 841
Dias d'Ávila,Bahia,83 705
Esteio,Rio Grande do Sul,83 352
Cruzeiro,São Paulo,82 895
Macaíba,Rio Grande do Norte,82 828
Três Rios,Rio de Janeiro,82 468
Quixeramobim,Ceará,82 455
Serrinha,Bahia,81 693
Aquiraz,Ceará,81 581
Cachoeira do Sul,Rio Grande do Sul,81 552
Vinhedo,São Paulo,81 516
Curvelo,Minas Gerais,81 085
Alfenas,Minas Gerais,80 973
João Monlevade,Minas Gerais,80 903
Jacobina,Bahia,80 749
Viana,Espírito Santo,80 735
Chapadinha,Maranhão,80 705
Telêmaco Borba,Paraná,80 588
Três Corações,Minas Gerais,80 561
Sapiranga,Rio Grande do Sul,80 514
Goiana,Pernambuco,80 345
Ibiúna,São Paulo,80 062
Caçador,Santa Catarina,80 017
Viçosa,Minas Gerais,79 910
Senhor do Bonfim,Bahia,79 813
Russas,Ceará,79 550
Cajamar,São Paulo,79 034
Lins,São Paulo,78 978
Picos,Piauí,78 627
Novo Repartimento,Pará,78 488
Jaboticabal,São Paulo,78 029
Bebedouro,São Paulo,77 612
Santo Ângelo,Rio Grande do Sul,77 544
Canindé,Ceará,77 484
Itapetinga,Bahia,77 408
Pirassununga,São Paulo,77 330
Valença,Rio de Janeiro,77 202
Tianguá,Ceará,77 111
Belo Jardim,Pernambuco,76 930
Santo Antônio do Descoberto,Goiás,76 871
Santana do Araguaia,Pará,75 995
Cataguases,Minas Gerais,75 942
Itapira,São Paulo,75 683
Concórdia,Santa Catarina,75 683
Rio Largo,Alagoas,75 662
Santana do Livramento,Rio Grande do Sul,75 647
Aracati,Ceará,75 392
Arcoverde,Pernambuco,75 295
